Time,Status,Type,Algorithm,DataStructure,Programming,Mathematic,Language,Communication,ProblemSolving,SelfMotivation,Total,StudyHardSkill,TestHardSkill,StudySoftSkill,TestSoftSkill
2,1,7,60,70,95,50,60,60,80,60,535,เขียนโปรแกรม,สามารถแก้ปัญหาที่ซับซ้อนมากขึ้นได้,การพูดคุย และฃลองปฏิบัติงานจริง,การสื่อสาร การพูดให้ได้ใจความ การตัดสินใจ
1,1,14,40,60,60,45,70,60,80,55,470,"ดูยูทูปที่มีการจกตัวอย่างหัวข้อนั้น, ถามเพื่อน","สามารถทำข้อสอบได้, ใช้ในโปรเจคได้","พยายามถามรุ่นพี่ที่มีประสบการณ์, ลองคุยกับคนต่างชาติในสาขา",สามารถสื่อสารกับเพื่อนต่างชาติได้
1,1,8,30,40,40,35,55,65,55,60,380,แฮคกาตอน,ดูว่าเราสามารถนำประสบการณ์เหล่านั้นมาประยุกต์กับการเรียนของเราแบบเห็นผลหรือเปล่า,การติดต่อพูดคุยกับเพื่อนในคณะ ไม่ใช่แค่ในสาขา,สำรวจตัวเองว่ามีความมั่นใจเพิ่มมากขึ้นมั้ย พูดคุยคล่องขึ้นมั้ย
1,1,6,65,95,95,65,95,100,75,80,670,เรียนคอร์สออนไลน์,ทดลองแก้ปัญหาจากโจทย์,Gen public speaking,สถานการณ์จริง
1,1,13,65,85,70,50,80,75,80,75,580,"ฝึกฝนตามแบบทดสอบ, ลองเขียนโปรแกรมขึ้นมาโดยกำหนดสโคปเอง",ทดลองเขียนโปรแกรมจริง,การนำเสนองานหน้าชั้นเรียน,นำเสนองานกับลูกค้า หรือหัวหน้า
1,1,2,60,75,70,55,85,100,80,65,590,ทำงานหรือ project จริงๆ,สอบ,พบป่ะ meeting กับเพื่อน,ทำกิจกรรมในคณะ
1,1,6,60,95,90,20,60,70,70,65,530,เขียนโค็ด​ เขียนเว็บ,ลองดูว่าเราสามารถเขียนออกมาตามที่เราต้องการหรือเปล่า,Solving​ problem​ แก้ปํญหาเชาว์น,ให้ลองแก้ปํญหา​ หรือ​ ทดสอบ​ ในการตอบปัญหา
2,1,1,75,85,100,80,95,90,95,90,710,"ดู Youtube,ลองทำโจทย์,สอนเพื่อน,แลกเปลี่ยนความรู้กับผู้รู้","สอนเพื่อน,สอบ","ฝึกพูด,อ่าน,ดูหนัง,เขียนบทความ",ทดลองใช้งานในสถานะการณ์จริง
1,1,10,55,55,95,20,35,50,70,70,450,"ทำโจทย์อัลกอริทึม, ทำ web app",ทำข้อสอบในเรื่องนั้น ๆ,"สอนคนอื่น, เขียนบทความ",ลองนำเสนอผลงาน
1,4,6,65,70,100,55,90,80,60,70,590,ประยุกต์ code ให้แก้ไขปัญหาชีวิตประจำวัน,-,การได้ออกไปคุยเกี่ยวกับเรื่องที่ตัวเองทำอยู่,-
1,1,5,90,100,100,100,100,100,70,70,730,"เรียนรู้ผ่าน MOOC, อ่านบทความเกี่ยวบกับการพัฒนาซอฟต์แวร์, พัฒนาโปรแกรม, ออกแบบโปรแกรม, เขียนบทความเกี่ยวกับการพัฒนาโปรแกรม","ทดสอบผ่านระบบประเมินวัดผลออนไลน์,​ การทดสอบในชั้นเรียน,​ การทำโปรเจค","การเขียนบทความการพัฒนาโปรแกรม,​ การสอนผู้อื่นเกี่ยวกับหัวข้อทางวิทยาการคอมพิวเตอร์,​ การนำเสนอผลงาน,​ การทำงานร่วมกับผู้อื่นในการทำโปรเจค,​ การบริหารโปรเจค",สอบถาม Feedback จากผู้อื่น
1,1,9,95,100,100,80,85,75,80,60,675,"เรียนออนไลน์, เขียนโปรแกรมแก้ปัญหาส่วนตัว","ลองเขียนโปรแกรมตามที่คิด, ทำโจทย์",-,-
2,1,12,40,45,95,50,80,75,70,45,500,"พัฒนาโปรเจกต์ที่สนใจ, พัฒนาโปรเจกต์ที่เคยทำแล้ว, ค้นหาเครื่องมือ/อุปกรณ์ที่ช่วยในการทำงาน",ดูว่าได้นำไปใช้ในโปรเจกต์ถัดๆ ไปจริงๆ ไม่ใช่ว่ารู้แล้วไม่ได้ใช้,เข้าร่วมการทำงานกับผู้อื่นบ่อยๆ,เข้าใจผู้อื่นมากขึ้น เข้าใจในมุมมอง และสามารถปรับตัวกับสภาพแสดล้อมใหม่ๆ ได้ง่ายขึ้น
1,1,14,35,40,50,35,45,40,55,40,340,base จากความสนใจรอบตัวและศึกษาความรู้ที่ related กับสิ่งที่เราสนใจ,เข้า community และแชร์ความรู้ ลองถามผู้รู้ที่อยู่รอบตัว,เข้าไปอยู่ในสภาพแวดล้อมที่มีแต่คนเก่ง ๆ และหาโอกาสทำกิจกรรมร่วมกับเขา,โจทย์แต่ละครั้งที่เราได้รับเดิมๆ แต่เรารู้ตัวเองว่าทำมันได้ดีขึ้นจากครั้งก่อนมากแค่ไหน
1,1,1,45,60,70,30,85,85,70,75,520,พัฒนา web application,"grader, algorithm efficiency ",Presentation,"doing the presentation, social interaction"
1,1,6,50,55,85,50,75,90,70,55,530,"ทำ Project, hackaton, อบรม, ฝึกงาน",ทำ Project Production,"ทำ Project, อบรม, ฝึกงาน, สอน","ทำ Project, รับ feedback ตัวเอง"
1,1,6,45,55,70,35,100,55,60,65,485,projects,beginner,nothing,intermediate
2,1,5,0,5,15,10,20,25,15,50,140,ค้นหาเกี่ยวกับสิ่งสิ่งที่สนใจผ่านยูทูป,การทดลองนำไปใช้,ไม่มี,ไม่มี
1,2,5,65,60,90,50,95,85,90,65,600,Improving existing projects,Compare your own skills with other experts in terms of best practices,Always practicing,Demonstrate and get feedbacks from other people
2,2,11,90,95,95,75,90,75,80,75,675,"เรียนเขียนภาษาใหม่ ๆ, หาโปรเจคใหม่ ๆ ทำอยู่เสมอ",ทำโปรเจคเล็ก ๆ สักอย่าง,ร่วมงานกับคนอื่นในสิ่งที่ตัวเองเชี่ยวชาญหรืออยากหาประสบการณ์,ทำงานขึ้นโปรดักชั่นได้สำเร็จ
1,1,1,70,75,90,35,70,65,85,50,540,"ทำproject ของ มหาลัย ,เข้าร่วม hackaton ,ทำopensouce","เขียน blog , ดูผลงานหลังจากการ dev ,","ทำจิตอาสา ,ทำproject ในมหาลัย",ดูfeedback จากเพื่อนร่วมงาน
1,2,14,55,55,95,60,50,35,50,65,465,"Workshop, Hackathon","ผลลัพธ์ตรงตามความต้องการ,ประสิทธิภาพในการทำงานหรือการประมวลผล",Problem solving,"การนำเสนอสิ่งที่ทำ,การจับใจความสำคัญ"
1,2,2,85,85,100,85,85,85,85,60,670,"อ่านหนังสือและบทความ, แข่งขัน, ทำโปรเจกต์","ทำโปรเจกต์, ทำ task competitive programming",การฝึกฝนการใช้ในสถานการต่าง ๆ เช่นการไปพูด talk หรือเข้าร่วม discussion,ยากฮะ -__-
1,1,5,55,75,80,70,70,55,75,65,545,Game Programming,ถ้าสามารถนำมาประยุกต์ใช้ต่อได้ในอนาคต ถือว่าบรรลุผล,ลองทำอะไรหลายๆ อย่างเพื่อค้นหาสิ่งที่ตัวเองชอบ,ถ้าทำแล้วมีความสุข ถือว่าบรรลุผล
